iri,equivalent_class
TBD:0000774,DOID:0060499
TBD:0000775,DOID:0060500
TBD:0000776,DOID:0060501
TBD:0000777,DOID:0060502
TBD:0000778,DOID:0060503
TBD:0000779,DOID:0060504
TBD:0000780,DOID:0060505
TBD:0000781,DOID:0060506
TBD:0000782,DOID:0060507
TBD:0000783,DOID:0060508
TBD:0000784,DOID:0060509
TBD:0000785,DOID:0060510
TBD:0000786,DOID:0060511
TBD:0000787,DOID:0060512
TBD:0000788,DOID:0060513
TBD:0000789,DOID:0060514
TBD:0000790,DOID:0060515
TBD:0000791,DOID:0060516
TBD:0000792,DOID:0060517
TBD:0000793,DOID:0060518
TBD:0000794,DOID:0060519
TBD:0000795,DOID:0060520
TBD:0000796,DOID:0060521
TBD:0000797,DOID:0060522
TBD:0000798,DOID:0060523
TBD:0000799,DOID:0060524
TBD:0000800,DOID:0060525
TBD:0000801,DOID:0060526
TBD:0000802,DOID:0060527
TBD:0000803,DOID:0060528
TBD:0000804,DOID:0060529
TBD:0000805,DOID:0060530
TBD:0000806,DOID:0060531
TBD:0000807,DOID:0060532
TBD:0000808,DOID:0060534
TBD:0000809,DOID:0060538
TBD:0000810,DOID:0060561
TBD:0000811,DOID:0060562
TBD:0000812,DOID:0060564
TBD:0000813,DOID:0060570
TBD:0000814,DOID:0060592
TBD:0000815,DOID:0060606
TBD:0000816,DOID:0060611
TBD:0000817,DOID:0060648
TBD:0000818,DOID:0060654
TBD:0000819,DOID:0060668
TBD:0000820,DOID:0060669
TBD:0000821,DOID:0060671
TBD:0000822,DOID:0060704
TBD:0000823,DOID:0060750
TBD:0000824,DOID:0060774
TBD:0000825,DOID:0060786
TBD:0000826,DOID:0060822
TBD:0000827,DOID:0060859
TBD:0000828,DOID:0060893
TBD:0000829,DOID:0060894
TBD:0000830,DOID:0060901
TBD:0000831,DOID:0060903
TBD:0000832,DOID:0070004
TBD:0000833,DOID:0080005
TBD:0000834,DOID:0080007
TBD:0000835,DOID:0080008
TBD:0000836,DOID:0080010
TBD:0000837,DOID:0080011
TBD:0000838,DOID:0080014
TBD:0000839,DOID:0080015
TBD:0000840,DOID:0080018
TBD:0000841,DOID:0080019
TBD:0000842,DOID:0080020
TBD:0000843,DOID:0080023
TBD:0000844,DOID:0080027
TBD:0000845,DOID:0080031
TBD:0000846,DOID:0080032
TBD:0000847,DOID:0080038
TBD:0000848,DOID:0080039
TBD:0000849,DOID:0080040
TBD:0000850,DOID:0080041
TBD:0000851,DOID:0080043
TBD:0000852,DOID:0080044
TBD:0000853,DOID:0080045
TBD:0000854,DOID:0080046
TBD:0000855,DOID:0080049
TBD:0000856,DOID:0080068
TBD:0000857,DOID:0080069
TBD:0000858,DOID:0080072
TBD:0000859,DOID:0080073
TBD:0000860,DOID:0080074
TBD:0000861,DOID:0080089
TBD:0000862,DOID:0080090
TBD:0000863,DOID:0080099
TBD:0000864,DOID:0080100
TBD:0000865,DOID:0080102
TBD:0000866,DOID:0080108
TBD:0000867,DOID:0080110
TBD:0000868,DOID:0080125
TBD:0000869,DOID:0080143
TBD:0000870,DOID:0080144
TBD:0000871,DOID:0080145
TBD:0000872,DOID:0080146
TBD:0000873,DOID:0080147
TBD:0000874,DOID:0080148
TBD:0000875,DOID:0080149
TBD:0000876,DOID:0080158
TBD:0000877,DOID:0080159
TBD:0000878,DOID:0080160
TBD:0000879,DOID:0080161
TBD:0000880,DOID:0080162
TBD:0000881,DOID:0080164
TBD:0000882,DOID:0080165
TBD:0000883,DOID:0080166
TBD:0000884,DOID:0080167
